Frame,Distance (m),Confidence
1,0.52997668997669,0.7582290967305502
2,0.5273534425773233,0.7539928158124288
3,0.5326806526806528,0.743552585442861
4,0.5326806526806528,0.7519737680753072
5,0.52997668997669,0.7475880980491638
6,0.52997668997669,0.7475880980491638
7,0.5353846153846155,0.7607583403587341
8,0.52997668997669,0.7462219993273417
9,0.52997668997669,0.7462219993273417
10,0.5326806526806528,0.7419992486635844
11,0.5326806526806528,0.7633709907531738
12,0.5326806526806528,0.7633709907531738
13,0.52997668997669,0.7401089668273926
14,0.5353846153846155,0.7672913074493408
15,0.5353846153846155,0.7672913074493408
16,0.5326806526806528,0.7419678966204325
17,0.5326806526806528,0.7285072008768717
18,0.52997668997669,0.7391799092292786
19,0.52997668997669,0.7283749381701151
20,0.5326806526806528,0.7214990059534708
21,0.52997668997669,0.7096269130706787
22,0.5326806526806528,0.7336928248405457
23,0.5353846153846155,0.7385942339897156
24,0.52997668997669,0.7318355043729147
25,0.52997668997669,0.7409703334172567
26,0.52997668997669,0.7196806073188782
27,0.52997668997669,0.7328068415323893
28,0.5326806526806528,0.7234492103258768
29,0.52997668997669,0.727490246295929
30,0.52997668997669,0.714936375617981
31,0.5326806526806528,0.7280492186546326
32,0.52997668997669,0.7441696524620056
33,0.52997668997669,0.737572987874349
34,0.52997668997669,0.7418440183003744
35,0.5326806526806528,0.7390787998835245
36,0.5326806526806528,0.7389205495516459
37,0.5326806526806528,0.7356356183687845
38,0.5326806526806528,0.708935817082723
39,0.5353846153846155,0.7383143107096354
40,0.5326806526806528,0.7465277711550394
41,0.5353846153846155,0.7216859062512716
42,0.5353846153846155,0.7487344344456991
43,0.5353846153846155,0.7366544206937155
44,0.5353846153846155,0.7576898137728373
45,0.5353846153846155,0.7426154216130575
46,0.5353846153846155,0.7470720012982687
47,0.52997668997669,0.7505942185719808
48,0.5326806526806528,0.729900062084198
49,0.5326806526806528,0.7375928362210592
50,0.5353846153846155,0.7531526883443197
51,0.5326806526806528,0.738996148109436
52,0.5353846153846155,0.7423015435536703
53,0.5353846153846155,0.7358576655387878
54,0.5353846153846155,0.7417008280754089
55,0.5353846153846155,0.7155742049217224
56,0.5353846153846155,0.7407242258389791
57,0.5326806526806528,0.739017128944397
58,0.5353846153846155,0.7289779384930929
59,0.5353846153846155,0.7579485177993774
60,0.5353846153846155,0.7462133963902792
61,0.5353846153846155,0.7437134782473246
62,0.5353846153846155,0.7413956522941589
63,0.5326806526806528,0.7346638043721517
64,0.5353846153846155,0.7407552003860474
65,0.5326806526806528,0.7393395105997721
66,0.5353846153846155,0.7355127135912577
67,0.5353846153846155,0.759260872999827
68,0.5353846153846155,0.7580354611078898
69,0.5353846153846155,0.7630182902018229
70,0.5353846153846155,0.7726033926010132
71,0.5326806526806528,0.7707640329996744
72,0.52997668997669,0.7758063673973083
73,0.5326806526806528,0.7664926449457804
74,0.5326806526806528,0.7659603754679362
75,0.52997668997669,0.76759139696757
76,0.52997668997669,0.7578051487604777
77,0.5326806526806528,0.7737057407697042
78,0.5326806526806528,0.7699296275774637
79,0.52997668997669,0.763095498085022
80,0.5326806526806528,0.768588642279307
81,0.5326806526806528,0.7616916298866272
82,0.52997668997669,0.7682562073071798
83,0.52997668997669,0.7687595089276632
84,0.5326806526806528,0.7685300707817078
85,0.52997668997669,0.7716347773869833
86,0.5326806526806528,0.7570869127909342
87,0.52997668997669,0.7622954646746317
88,0.52997668997669,0.7699925104777018
89,0.52997668997669,0.7633456786473592
90,0.52997668997669,0.7736316919326782
91,0.5326806526806528,0.7597857117652893
92,0.5326806526806528,0.7706783413887024
93,0.5353846153846155,0.7644903659820557
94,0.5326806526806528,0.7752967476844788
95,0.52997668997669,0.7685672442118326
96,0.52997668997669,0.767021119594574
97,0.5326806526806528,0.7665966749191284
